Program,Course Code,Course Title,Section
BSCSE,BDS 1201,History of the Emergence of Bangladesh,AH
BSCSE,BDS 1201,History of the Emergence of Bangladesh,AI
BSCSE,BDS 1201,History of the Emergence of Bangladesh,AJ
BSCSE,BDS 1201,History of the Emergence of Bangladesh,AK
BSCSE,BDS 1201,History of the Emergence of Bangladesh,AL
BSCSE,BDS 1201,History of the Emergence of Bangladesh,AM
BSCSE,BDS 1201,History of the Emergence of Bangladesh,AN
BSCSE,BDS 1201,History of the Emergence of Bangladesh,AO
BSDS,BDS 1201,History of the Emergence of Bangladesh,BA
BSDS,BDS 1201,History of the Emergence of Bangladesh,BB
BSCSE,BIO 3105,Biology for Engineers,A
BSCSE,BIO 3105,Biology for Engineers,B
BSCSE,BIO 3105,Biology for Engineers,C
BSCSE,BIO 3105,Biology for Engineers,D
BSCSE,BIO 3105,Biology for Engineers,E
BSCSE,BIO 3105,Biology for Engineers,F
BSDS,BIO 3107,Biology,BA
BSDS,BIO 3107,Biology,BB
BSCSE,CSE 1111,Structured Programming Language,A
BSCSE,CSE 1111,Structured Programming Language,B
BSCSE,CSE 1111,Structured Programming Language,C
BSCSE,CSE 1111,Structured Programming Language,D
BSCSE,CSE 1111,Structured Programming Language,E
BSCSE,CSE 1111,Structured Programming Language,F
BSCSE,CSE 1111,Structured Programming Language,H
BSCSE,CSE 1111,Structured Programming Language,I
BSCSE,CSE 1111,Structured Programming Language,J
BSCSE,CSE 1111,Structured Programming Language,K
BSCSE,CSE 1111,Structured Programming Language,L
BSCSE,CSE 1111,Structured Programming Language,M
BSCSE,CSE 1111,Structured Programming Language,N
BSCSE,CSE 1111,Structured Programming Language,P
BSCSE,CSE 1111,Structured Programming Language,Q
BSCSE,CSE 1115,Object Oriented Programming,A
BSCSE,CSE 1115,Object Oriented Programming,B
BSCSE,CSE 1115,Object Oriented Programming,C
BSCSE,CSE 1115,Object Oriented Programming,D
BSCSE,CSE 1115,Object Oriented Programming,E
BSCSE,CSE 1115,Object Oriented Programming,F
BSCSE,CSE 1115,Object Oriented Programming,G
BSCSE,CSE 1115,Object Oriented Programming,H
BSCSE,CSE 1115,Object Oriented Programming,I
BSCSE,CSE 1115,Object Oriented Programming,J
BSCSE,CSE 1115,Object Oriented Programming,K
BSCSE,CSE 1115,Object Oriented Programming,L
BSCSE,CSE 1115,Object Oriented Programming,M
BSCSE,CSE 1115,Object Oriented Programming,N
BSCSE,CSE 1115,Object Oriented Programming,O
BSCSE,CSE 1115,Object Oriented Programming,P
BSCSE,CSE 1115,Object Oriented Programming,Q
BSCSE,CSE 1115,Object Oriented Programming,R
BSCSE,CSE 1325,Digital Logic Design,A
BSCSE,CSE 1325,Digital Logic Design,B
BSCSE,CSE 1325,Digital Logic Design,C
BSCSE,CSE 1325,Digital Logic Design,D
BSCSE,CSE 1325,Digital Logic Design,E
BSCSE,CSE 1325,Digital Logic Design,F
BSCSE,CSE 1325,Digital Logic Design,G
BSCSE,CSE 1325,Digital Logic Design,H
BSCSE,CSE 1325,Digital Logic Design,I
BSCSE,CSE 1325,Digital Logic Design,J
BSCSE,CSE 1325,Digital Logic Design,K
BSCSE,CSE 1325,Digital Logic Design,L
BSCSE,CSE 1325,Digital Logic Design,M
BSCSE,CSE 2213,Discrete Mathematics,A
BSCSE,CSE 2213,Discrete Mathematics,B
BSDS,CSE 2213,Discrete Mathematics,BA
BSDS,CSE 2213,Discrete Mathematics,BB
BSDS,CSE 2213,Discrete Mathematics,BC
BSDS,CSE 2213,Discrete Mathematics,BD
BSCSE,CSE 2213,Discrete Mathematics,C
BSCSE,CSE 2213,Discrete Mathematics,D
BSCSE,CSE 2213,Discrete Mathematics,E
BSCSE,CSE 2213,Discrete Mathematics,F
BSCSE,CSE 2213,Discrete Mathematics,G
BSCSE,CSE 2213,Discrete Mathematics,H
BSCSE,CSE 2213,Discrete Mathematics,I
BSCSE,CSE 2213,Discrete Mathematics,J
BSCSE,CSE 2213,Discrete Mathematics,K
BSCSE,CSE 2213,Discrete Mathematics,L
BSCSE,CSE 2213,Discrete Mathematics,M
BSCSE,CSE 2213,Discrete Mathematics,N
BSCSE,CSE 2213,Discrete Mathematics,O
BSCSE,CSE 2215,Data Structure and Algorithms I,A
BSCSE,CSE 2215,Data Structure and Algorithms I,B
BSDS,CSE 2215,Data Structure and Algorithms I,BA
BSDS,CSE 2215,Data Structure and Algorithms I,BB
BSDS,CSE 2215,Data Structure and Algorithms I,BC
BSDS,CSE 2215,Data Structure and Algorithms I,BD
BSCSE,CSE 2215,Data Structure and Algorithms I,C
BSCSE,CSE 2215,Data Structure and Algorithms I,D
BSCSE,CSE 2215,Data Structure and Algorithms I,F
BSCSE,CSE 2215,Data Structure and Algorithms I,G
BSCSE,CSE 2215,Data Structure and Algorithms I,H
BSCSE,CSE 2215,Data Structure and Algorithms I,I
BSCSE,CSE 2215,Data Structure and Algorithms I,J
BSCSE,CSE 2217,Data Structure and Algorithms II,A
BSCSE,CSE 2217,Data Structure and Algorithms II,B
BSCSE,CSE 2217,Data Structure and Algorithms II,C
BSCSE,CSE 2217,Data Structure and Algorithms II,D
BSCSE,CSE 2217,Data Structure and Algorithms II,E
BSCSE,CSE 2217,Data Structure and Algorithms II,F
BSCSE,CSE 2217,Data Structure and Algorithms II,G
BSCSE,CSE 2217,Data Structure and Algorithms II,H
BSCSE,CSE 2217,Data Structure and Algorithms II,I
BSCSE,CSE 2233,Theory of Computation,A
BSCSE,CSE 2233,Theory of Computation,B
BSCSE,CSE 2233,Theory of Computation,C
BSCSE,CSE 2233,Theory of Computation,D
BSCSE,CSE 2233,Theory of Computation,E
BSCSE,CSE 2233,Theory of Computation,F
BSCSE,CSE 2233,Theory of Computation,G
BSCSE,CSE 2233,Theory of Computation,H
BSCSE,CSE 2233,Theory of Computation,I
BSCSE,CSE 3313,Computer Architecture,A
BSCSE,CSE 3313,Computer Architecture,B
BSCSE,CSE 3313,Computer Architecture,C
BSCSE,CSE 3313,Computer Architecture,D
BSCSE,CSE 3313,Computer Architecture,E
BSCSE,CSE 3313,Computer Architecture,F
BSCSE,CSE 3313,Computer Architecture,G
BSCSE,CSE 3313,Computer Architecture,H
BSCSE,CSE 3313,Computer Architecture,I
BSCSE,CSE 3313,Computer Architecture,J
BSCSE,CSE 3313,Computer Architecture,K
BSCSE,CSE 3411,System Analysis and Design,A
BSCSE,CSE 3411,System Analysis and Design,B
BSCSE,CSE 3411,System Analysis and Design,C
BSCSE,CSE 3411,System Analysis and Design,D
BSCSE,CSE 3421,Software Engineering,A
BSCSE,CSE 3421,Software Engineering,B
BSCSE,CSE 3421,Software Engineering,C
BSCSE,CSE 3521,Database Management Systems,A
BSCSE,CSE 3521,Database Management Systems,B
BSCSE,CSE 3521,Database Management Systems,C
BSCSE,CSE 3521,Database Management Systems,D
BSCSE,CSE 3521,Database Management Systems,E
BSCSE,CSE 3521,Database Management Systems,F
BSCSE,CSE 3521,Database Management Systems,G
BSCSE,CSE 3521,Database Management Systems,H
BSCSE,CSE 3521,Database Management Systems,I
BSCSE,CSE 3711,Computer Networks,A
BSCSE,CSE 3711,Computer Networks,B
BSCSE,CSE 3711,Computer Networks,C
BSCSE,CSE 3711,Computer Networks,D
BSCSE,CSE 3711,Computer Networks,E
BSCSE,CSE 3711,Computer Networks,F
BSCSE,CSE 3715,Data Communication,A
BSCSE,CSE 3811,Artificial Intelligence,A
BSCSE,CSE 3811,Artificial Intelligence,B
BSCSE,CSE 3811,Artificial Intelligence,C
BSCSE,CSE 3811,Artificial Intelligence,D
BSCSE,CSE 3811,Artificial Intelligence,E
BSCSE,CSE 3811,Artificial Intelligence,F
BSCSE,CSE 3811,Artificial Intelligence,G
BSCSE,CSE 3811,Artificial Intelligence,H
BSCSE,CSE 4325,Microprocessors and Microcontrollers,A
BSCSE,CSE 4325,Microprocessors and Microcontrollers,B
BSCSE,CSE 4325,Microprocessors and Microcontrollers,C
BSCSE,CSE 4325,Microprocessors and Microcontrollers,D
BSCSE,CSE 4329,Digital System Design,A
BSCSE,CSE 4435,Software Architecture,A
BSCSE,CSE 4435,Software Architecture,B
BSCSE,CSE 4451,Human Computer Interaction,A
BSCSE,CSE 4451,Human Computer Interaction,B
BSCSE,CSE 4495,Software Testing and Quality Assurance,A
BSCSE,CSE 4495,Software Testing and Quality Assurance,B
BSCSE,CSE 4509,Operating Systems,A
BSCSE,CSE 4509,Operating Systems,B
BSCSE,CSE 4509,Operating Systems,C
BSCSE,CSE 4531,Computer Security,B
